IPK,Pendapatan_Orang_Tua,Prestasi_Akademik,Prestasi_Non_Akademik,Keikutsertaan_Organisasi,Diterima_Beasiswa
3.92,9.94,4.0,2,1,1.0
3.34,4.07,2.0,0,3,1.0
2.91,4.84,4.0,4,3,1.0
3.41,10.07,2.0,5,4,1.0
3.38,11.92,0.0,5,4,1.0
3.54,5.54,2.0,3,1,1.0
3.38,15.0,0.0,2,0,1.0
3.45,1.6,2.0,2,3,1.0
2.62,3.1,5.0,1,4,1.0
3.02,6.98,0.0,2,1,1.0
2.69,8.47,0.0,2,3,1.0
3.77,9.53,0.0,4,3,1.0
2.41,4.16,5.0,4,5,1.0
3.67,6.8,0.0,4,0,1.0
3.66,3.21,3.0,0,5,1.0
3.18,3.42,3.0,3,0,1.0
2.84,10.33,5.0,2,3,1.0
3.01,3.71,5.0,4,1,1.0
3.43,15.0,0.0,0,5,1.0
3.13,6.49,4.0,0,2,1.0
3.4,5.6,4.0,0,0,1.0
2.71,6.68,5.0,1,3,1.0
3.27,9.88,0.0,5,3,1.0
3.03,12.85,2.0,1,3,1.0
3.97,6.03,4.0,2,2,1.0
3.69,6.77,5.0,4,1,1.0
3.81,7.37,0.0,2,2,1.0
3.63,5.67,3.0,0,3,1.0
2.99,9.48,3.0,0,0,1.0
3.33,9.56,4.0,0,0,1.0
3.18,7.47,3.0,5,2,1.0
2.91,4.44,0.0,4,0,1.0
2.71,1.0,1.0,3,0,1.0
2.89,6.31,3.0,0,1,1.0
3.66,7.89,2.0,1,1,1.0
2.91,6.66,0.0,0,1,1.0
3.52,8.52,3.0,2,4,1.0
3.39,13.12,3.0,3,1,1.0
3.56,7.46,2.0,0,2,1.0
3.78,5.26,1.0,2,4,1.0
3.08,4.39,3.0,1,4,1.0
3.05,8.11,4.0,0,0,1.0
2.97,4.04,3.0,4,2,1.0
3.08,15.07,4.0,4,5,1.0
3.42,7.9,4.0,2,4,1.0
2.81,4.5,5.0,0,4,1.0
2.76,9.59,3.0,0,2,1.0
3.35,4.68,0.0,3,5,1.0
2.96,8.17,4.0,2,3,1.0
2.92,7.22,2.0,1,0,1.0
3.35,16.27,3.0,5,2,1.0
3.63,3.84,5.0,3,2,1.0
2.53,6.5,4.0,2,0,1.0
2.52,14.59,3.0,4,3,1.0
3.91,9.0,0.0,4,5,1.0
3.03,9.68,4.0,3,2,1.0
3.32,12.02,2.0,1,4,1.0
3.31,8.29,1.0,3,4,1.0
2.98,9.8,0.0,0,4,1.0
2.99,15.85,5.0,1,0,1.0
3.14,10.7,2.0,5,0,1.0
2.81,5.11,0.0,1,1,1.0
2.8,10.39,5.0,0,5,1.0
